Category	Chromosome	Loci Start	Loci End	Gene ID	Gene Symbol	Strand	Distance to TSS	Description	Conservation Score	Fractional Overlaping
Intron	chr7	141131303	141131934	uc009kjq.1	Ptdss2	+	+0333	Mus musculus phosphatidylserine synthase 2 (Ptdss2), mRNA.	NA	NA
Intron	chr7	141167462	141169733	uc009kjt.2	Rnh1	-	+4254	Mus musculus ribonuclease/angiogenin inhibitor 1 (Rnh1), transcript variant 2, mRNA.	NA	NA
Intron	chr7	141171118	141173807	uc009kjt.2	Rnh1	-	+0389	Mus musculus ribonuclease/angiogenin inhibitor 1 (Rnh1), transcript variant 2, mRNA.	NA	NA
Intron	chr7	141193013	141193949	uc009kjv.2	Hras1	-	+0523	Mus musculus Harvey rat sarcoma virus oncogene 1 (Hras1), transcript variant 2, mRNA.	NA	NA
5'UTR	chr7	141194250	141194849	uc009kjx.2	Lrrc56	+	+0420	Mus musculus leucine rich repeat containing 56 (Lrrc56), transcript variant 1, mRNA.	NA	NA
Upstream	chr7	141215003	141216371	uc009kka.1	Rassf7	+	-0172	Mus musculus Ras association (RalGDS/AF-6) domain family (N-terminal) member 7 (Rassf7), mRNA.	NA	NA
Intron	chr7	141216672	141217307	uc009kka.1	Rassf7	+	+1130	Mus musculus Ras association (RalGDS/AF-6) domain family (N-terminal) member 7 (Rassf7), mRNA.	NA	NA
5'UTR	chr7	141221242	141221658	uc012fws.1	Mir210	-	+0043	Mus musculus microRNA 210 (Mir210), microRNA.	NA	NA
Upstream	chr7	141222084	141222303	uc012fws.1	Mir210	-	-0700	Mus musculus microRNA 210 (Mir210), microRNA.	NA	NA
5'UTR	chr7	141228198	141229477	uc009kkb.1	Phrf1	+	+0050	Mus musculus PHD and ring finger domains 1 (Phrf1), mRNA.	NA	NA
Intron	chr7	141265224	141266902	uc009kkg.2	Irf7	-	+0361	Mus musculus interferon regulatory factor 7 (Irf7), transcript variant 1, mRNA.	NA	NA
Exon/CD	chr7	141268662	141269675	uc009kkk.2	Cdhr5	-	+7618	Mus musculus cadherin-related family member 5 (Cdhr5), transcript variant 1, mRNA.	NA	NA
Upstream	chr7	141275701	141277884	uc009kkk.2	Cdhr5	-	-0006	Mus musculus cadherin-related family member 5 (Cdhr5), transcript variant 1, mRNA.	NA	NA
Intron	chr7	141301145	141303882	uc009kkp.2	Deaf1	-	+36270	Mus musculus deformed epidermal autoregulatory factor 1 (Drosophila) (Deaf1), transcript variant 3, non-coding RNA.	NA	NA
Intron	chr7	141304283	141305537	uc009kkp.2	Deaf1	-	+33873	Mus musculus deformed epidermal autoregulatory factor 1 (Drosophila) (Deaf1), transcript variant 3, non-coding RNA.	NA	NA
Intron	chr7	141327185	141328884	uc009kkp.2	Deaf1	-	+10749	Mus musculus deformed epidermal autoregulatory factor 1 (Drosophila) (Deaf1), transcript variant 3, non-coding RNA.	NA	NA
Intron	chr7	141331239	141333031	uc009kkp.2	Deaf1	-	+6648	Mus musculus deformed epidermal autoregulatory factor 1 (Drosophila) (Deaf1), transcript variant 3, non-coding RNA.	NA	NA
Intron	chr7	141337995	141345404	uc009kkt.1	Eps8l2	+	+2698	Mus musculus EPS8-like 2 (Eps8l2), mRNA.	NA	NA
Intron	chr7	141391607	141393446	uc009kkv.2	Taldo1	+	+0367	Mus musculus transaldolase 1 (Taldo1), mRNA.	NA	NA
Upstream	chr7	141413353	141415448	uc012fwy.1	Pddc1	-	-0275	Mus musculus Parkinson disease 7 domain containing 1 (Pddc1), mRNA.	NA	NA
3'UTR	chr7	141429857	141430453	uc009kla.2	Slc25a22	-	+7719	Mus musculus solute carrier family 25 (mitochondrial carrier, glutamate), member 22 (Slc25a22), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	NA	NA
Intron	chr7	141431061	141437716	uc009kla.2	Slc25a22	-	+3486	Mus musculus solute carrier family 25 (mitochondrial carrier, glutamate), member 22 (Slc25a22), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	NA	NA
Upstream	chr7	141443865	141444314	uc009kle.1	Lrdd	-	-0081	Mus musculus leucine-rich and death domain containing (Lrdd), mRNA.	NA	NA
Upstream	chr7	141446612	141448234	uc009klf.1	Rplp2	+	-0226	Mus musculus ribosomal protein, large P2 (Rplp2), mRNA.	NA	NA
5'UTR	chr7	141454870	141458318	uc009klh.2	Pnpla2	+	+1407	Mus musculus patatin-like phospholipase domain containing 2 (Pnpla2), transcript variant 3, non-coding RNA.	NA	NA
5'UTR	chr7	141454870	141458318	uc009klh.2	Pnpla2	+	+1407	Mus musculus patatin-like phospholipase domain containing 2 (Pnpla2), transcript variant 3, non-coding RNA.	NA	NA
Intron	chr7	141460947	141465103	uc009klj.2	Efcab4a	+	+1932	Mus musculus EF-hand calcium binding domain 4A (Efcab4a), mRNA.	NA	NA
Intron	chr7	141460947	141465103	uc009klj.2	Efcab4a	+	+1932	Mus musculus EF-hand calcium binding domain 4A (Efcab4a), mRNA.	NA	NA
Intron	chr7	141466543	141469857	uc012fxg.1	Cd151	+	+0839	Mus musculus CD151 antigen (Cd151), transcript variant 1, mRNA.	NA	NA
Intron	chr7	141474116	141478539	uc009kln.2	Tspan4	+	+1092	Mus musculus tetraspanin 4 (Tspan4), transcript variant 1, mRNA.	NA	NA
Intron	chr7	141516050	141519534	uc009klq.2	Chid1	-	+22065	Mus musculus chitinase domain containing 1 (Chid1), transcript variant 1, mRNA.	NA	NA
Upstream	chr7	141538564	141541407	uc009klq.2	Chid1	-	-0128	Mus musculus chitinase domain containing 1 (Chid1), transcript variant 1, mRNA.	NA	NA
Intron	chr7	141561490	141563741	uc009kls.2	Ap2a2	+	+0436	Mus musculus adaptor protein complex AP-2, alpha 2 subunit (Ap2a2), mRNA.	NA	NA
Intron	chr7	141579524	141583889	uc009kls.2	Ap2a2	+	+19527	Mus musculus adaptor protein complex AP-2, alpha 2 subunit (Ap2a2), mRNA.	NA	NA
Intron	chr7	141584552	141585493	uc009kls.2	Ap2a2	+	+22843	Mus musculus adaptor protein complex AP-2, alpha 2 subunit (Ap2a2), mRNA.	NA	NA
5'UTR	chr7	141901717	141902945	uc009kmd.1	Tollip	-	+0075	Mus musculus toll interacting protein (Tollip), mRNA.	NA	NA
Intron	chr7	142060280	142061476	uc009kmk.1	Mob2	-	+0156	Mus musculus MOB kinase activator 2 (Mob2), mRNA.	NA	NA
5'UTR	chr7	142094555	142095855	uc009kmo.2	Dusp8	-	+0079	Mus musculus dual specificity phosphatase 8 (Dusp8), mRNA.	NA	NA
Upstream	chr7	142371815	142372975	uc009kmt.1	6330512M04Rik	-	-0136	Mus musculus RIKEN cDNA 6330512M04 gene (6330512M04Rik), mRNA.	NA	NA
Upstream	chr7	142373363	142373602	uc009kmt.1	6330512M04Rik	-	-1223	Mus musculus RIKEN cDNA 6330512M04 gene (6330512M04Rik), mRNA.	NA	NA
Intron	chr7	142386418	142388574	uc009kmv.1	Ctsd	-	+0374	Mus musculus cathepsin D (Ctsd), mRNA.	NA	NA
Intron	chr7	142532979	142536614	uc009kny.1	Mrpl23	+	+1680	Mus musculus mitochondrial ribosomal protein L23 (Mrpl23), nuclear gene encoding mitochondrial protein, mRNA.	NA	NA
Intron	chr7	143008349	143008884	uc009kom.2	Tspan32	+	+3571	Mus musculus tetraspanin 32 (Tspan32), transcript variant 1, mRNA.	NA	NA
Intron	chr7	143041389	143043393	uc009kos.2	R74862	-	+10977	Mus musculus expressed sequence R74862 (R74862), non-coding RNA.	NA	NA
Intron	chr7	143041389	143043393	uc009kos.2	R74862	-	+10977	Mus musculus expressed sequence R74862 (R74862), non-coding RNA.	NA	NA
Intron	chr7	143050130	143050398	uc009kos.2	R74862	-	+3104	Mus musculus expressed sequence R74862 (R74862), non-coding RNA.	NA	NA
Intron	chr7	143052277	143055137	uc009kou.2	Cd81	+	+0958	Mus musculus CD81 antigen (Cd81), mRNA.	NA	NA
Intron	chr7	143056984	143057443	uc009kou.2	Cd81	+	+4464	Mus musculus CD81 antigen (Cd81), mRNA.	NA	NA
Intron	chr7	143057796	143059483	uc009kou.2	Cd81	+	+5890	Mus musculus CD81 antigen (Cd81), mRNA.	NA	NA
Upstream	chr7	143068580	143069084	uc009kov.1	Tssc4	+	-0535	Mus musculus tumor-suppressing subchromosomal transferable fragment 4 (Tssc4), transcript variant 2, mRNA.	NA	NA
5'UTR	chr7	143069413	143070250	uc009kov.1	Tssc4	+	+0464	Mus musculus tumor-suppressing subchromosomal transferable fragment 4 (Tssc4), transcript variant 2, mRNA.	NA	NA
5'UTR	chr7	143106984	143107728	uc009kpb.1	Kcnq1	+	+0103	Mus musculus potassium voltage-gated channel, subfamily Q, member 1 (Kcnq1), mRNA.	NA	NA
Intron	chr7	143109375	143109575	uc009kpb.1	Kcnq1	+	+2222	Mus musculus potassium voltage-gated channel, subfamily Q, member 1 (Kcnq1), mRNA.	NA	NA
Intron	chr7	143203309	143204085	uc009kpb.1	Kcnq1	+	+96444	Mus musculus potassium voltage-gated channel, subfamily Q, member 1 (Kcnq1), mRNA.	NA	NA
Intron	chr7	143286190	143287600	uc009kpb.1	Kcnq1	+	+179642	Mus musculus potassium voltage-gated channel, subfamily Q, member 1 (Kcnq1), mRNA.	NA	NA
Intron	chr7	143296007	143296289	uc009kpb.1	Kcnq1	+	+188895	Mus musculus potassium voltage-gated channel, subfamily Q, member 1 (Kcnq1), mRNA.	NA	NA
Intron	chr7	143473441	143477001	uc009kpg.1	Slc22a18	+	+1467	Mus musculus solute carrier family 22 (organic cation transporter), member 18 (Slc22a18), transcript variant 1, mRNA.	NA	NA
5'UTR	chr7	143548245	143549912	uc009kpl.1	Nap1l4	-	+0012	Mus musculus nucleosome assembly protein 1-like 4 (Nap1l4), mRNA.	NA	NA
Intron	chr7	143599336	143600014	uc009kpn.2	Cars	-	+0415	Mus musculus cysteinyl-tRNA synthetase (Cars), transcript variant 1, mRNA.	NA	NA
Intron	chr7	143614067	143615344	uc009kpp.1	Tnfrsf26	-	+13140	Mus musculus tumor necrosis factor receptor superfamily, member 26 (Tnfrsf26), mRNA.	NA	NA
Upstream	chr7	143627651	143628443	uc009kpq.1	AK054221	+	-0026	Mus musculus 2 days pregnant adult female oviduct cDNA, RIKEN full-length enriched library, clone:E230032D23 product:unclassifiable, full insert sequence.	NA	NA
Intron	chr7	143739669	143740324	uc009kpx.1	Osbpl5	-	+1967	Mus musculus oxysterol binding protein-like 5 (Osbpl5), transcript variant 1, mRNA.	NA	NA
Upstream	chr7	143768596	143770511	uc009kpy.1	Mrgprg	-	-2560	Mus musculus MAS-related GPR, member G (Mrgprg), mRNA.	NA	NA
3'UTR	chr7	143778293	143779350	uc009kpz.2	Mrgpre	-	+5679	Mus musculus MAS-related GPR, member E (Mrgpre), mRNA.	NA	NA
Intron	chr7	143783718	143784638	uc009kpz.2	Mrgpre	-	+0322	Mus musculus MAS-related GPR, member E (Mrgpre), mRNA.	NA	NA
Upstream	chr7	143822117	143823636	uc009kqa.1	Nadsyn1	-	-0035	Mus musculus NAD synthetase 1 (Nadsyn1), mRNA.	NA	NA
Intron	chr7	143829237	143831344	uc009kqc.1	Dhcr7	+	+7124	Mus musculus 7-dehydrocholesterol reductase (Dhcr7), mRNA.	NA	NA
Intron	chr7	143829237	143831344	uc009kqc.1	Dhcr7	+	+7124	Mus musculus 7-dehydrocholesterol reductase (Dhcr7), mRNA.	NA	NA
Intron	chr7	143832405	143834704	uc009kqc.1	Dhcr7	+	+10388	Mus musculus 7-dehydrocholesterol reductase (Dhcr7), mRNA.	NA	NA
Intron	chr7	143977659	143979383	uc029wqc.1	Mir3470b	-	+464912	Mus musculus microRNA 3470b (Mir3470b), microRNA.	NA	NA
Intron	chr7	143985539	143987850	uc029wqc.1	Mir3470b	-	+456739	Mus musculus microRNA 3470b (Mir3470b), microRNA.	NA	NA
Intron	chr7	144008723	144009961	uc029wqc.1	Mir3470b	-	+434091	Mus musculus microRNA 3470b (Mir3470b), microRNA.	NA	NA
Intron	chr7	144021465	144024929	uc029wqc.1	Mir3470b	-	+420236	Mus musculus microRNA 3470b (Mir3470b), microRNA.	NA	NA
Intron	chr7	144029634	144030345	uc029wqc.1	Mir3470b	-	+413444	Mus musculus microRNA 3470b (Mir3470b), microRNA.	NA	NA
Intron	chr7	144037481	144039489	uc029wqc.1	Mir3470b	-	+404948	Mus musculus microRNA 3470b (Mir3470b), microRNA.	NA	NA
Intron	chr7	144039838	144041553	uc029wqc.1	Mir3470b	-	+402738	Mus musculus microRNA 3470b (Mir3470b), microRNA.	NA	NA
Intron	chr7	144051423	144052234	uc029wqc.1	Mir3470b	-	+391605	Mus musculus microRNA 3470b (Mir3470b), microRNA.	NA	NA
Intron	chr7	144469483	144471193	uc009kqh.2	Cttn	-	+0597	Mus musculus cortactin (Cttn), transcript variant 1, mRNA.	NA	NA
Intron	chr7	144553293	144553606	uc012fxz.1	Ppfia1	-	+0280	Mus musculus protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1 (Ppfia1), transcript variant A, mRNA.	NA	NA
Upstream	chr7	144553964	144554430	uc012fxz.1	Ppfia1	-	-0468	Mus musculus protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1 (Ppfia1), transcript variant A, mRNA.	NA	NA
Intron	chr7	144580804	144582746	uc009kql.1	Fadd	-	+0661	Mus musculus Fas (TNFRSF6)-associated via death domain (Fadd), mRNA.	NA	NA
Upstream	chr7	144914647	144915671	uc012fyb.1	Oraov1	+	-0034	Mus musculus oral cancer overexpressed 1 (Oraov1), mRNA.	NA	NA
3'UTR	chr7	144926440	144935542	uc009kqt.1	Ccnd1	-	+8934	Mus musculus cyclin D1 (Ccnd1), mRNA.	NA	NA
3'UTR	chr7	144926440	144935542	uc009kqt.1	Ccnd1	-	+8934	Mus musculus cyclin D1 (Ccnd1), mRNA.	NA	NA
Intron	chr7	145205955	145206754	uc012fyd.1	Tpcn2	-	+77573	Mus musculus two pore segment channel 2 (Tpcn2), mRNA.	NA	NA
Intron	chr7	145283488	145283957	uc012fyd.1	Tpcn2	-	+0205	Mus musculus two pore segment channel 2 (Tpcn2), mRNA.	NA	NA
Intron	chr6	003498497	003498839	uc012ehr.1	Ccdc132	+	+0276	Mus musculus coiled-coil domain containing 132 (Ccdc132), transcript variant 2, mRNA.	NA	NA
Intron	chr6	003544750	003545036	uc012ehr.1	Ccdc132	+	+46501	Mus musculus coiled-coil domain containing 132 (Ccdc132), transcript variant 2, mRNA.	NA	NA
Upstream	chr6	004002765	004004614	uc009avj.2	Gng11	+	-0297	Mus musculus guanine nucleotide binding protein (G protein), gamma 11 (Gng11), mRNA.	NA	NA
5'UTR	chr6	004086279	004087357	uc009avk.1	Bet1	-	+0109	Mus musculus blocked early in transport 1 homolog (S. cerevisiae) (Bet1), mRNA.	NA	NA
Upstream	chr6	004089738	004091097	uc009avk.1	Bet1	-	-3490	Mus musculus blocked early in transport 1 homolog (S. cerevisiae) (Bet1), mRNA.	NA	NA
5'UTR	chr6	004600390	004601787	uc009avo.1	Casd1	+	+0023	Mus musculus CAS1 domain containing 1 (Casd1), mRNA.	NA	NA
Intron	chr6	004902799	004903928	uc009avx.1	Ppp1r9a	+	+0390	Mus musculus protein phosphatase 1, regulatory (inhibitor) subunit 9A (Ppp1r9a), mRNA.	NA	NA
Intron	chr6	005171818	005172131	uc009awd.2	Pon1	-	+21972	Mus musculus paraoxonase 1 (Pon1), mRNA.	NA	NA
Intron	chr6	005187533	005194475	uc009awd.2	Pon1	-	+2942	Mus musculus paraoxonase 1 (Pon1), mRNA.	NA	NA
Intron	chr6	005219432	005224136	uc009awe.1	Pon3	-	+34449	Mus musculus paraoxonase 3 (Pon3), mRNA.	NA	NA
Intron	chr6	005219432	005224136	uc009awe.1	Pon3	-	+34449	Mus musculus paraoxonase 3 (Pon3), mRNA.	NA	NA
Intron	chr6	005219432	005224136	uc009awe.1	Pon3	-	+34449	Mus musculus paraoxonase 3 (Pon3), mRNA.	NA	NA
Intron	chr6	005255242	005256607	uc009awe.1	Pon3	-	+0309	Mus musculus paraoxonase 3 (Pon3), mRNA.	NA	NA
Intron	chr6	005297390	005298760	uc009awf.1	Pon2	-	+0298	Mus musculus paraoxonase 2 (Pon2), mRNA.	NA	NA
Intron	chr6	005390158	005390729	uc009awi.1	Asb4	+	+7058	Mus musculus ankyrin repeat and SOCS box-containing 4 (Asb4), mRNA.	NA	NA
Upstream	chr6	005495877	005498036	uc009awk.1	Pdk4	-	-0678	Mus musculus pyruvate dehydrogenase kinase, isoenzyme 4 (Pdk4), nuclear gene encoding mitochondrial protein, mRNA.	NA	NA
Intron	chr6	006183316	006187235	uc009awp.2	Slc25a13	-	+31898	Mus musculus solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 13 (Slc25a13), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	NA	NA
Intron	chr6	006200501	006213450	uc009awp.2	Slc25a13	-	+10198	Mus musculus solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 13 (Slc25a13), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	NA	NA
Upstream	chr6	006213805	006221112	uc009awp.2	Slc25a13	-	-0285	Mus musculus solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 13 (Slc25a13), nuclear gene encoding mitochondrial protein, transcript variant 1, mRNA.	NA	NA
Upstream	chr6	006248088	006249093	uc009awr.1	AK015284	+	-0096	Mus musculus adult male testis cDNA, RIKEN full-length enriched library, clone:4930428J05 product:unclassifiable, full insert sequence.	NA	NA
Exon/CD	chr6	006577948	006579047	uc009aws.1	Shfm1	-	+0161	Mus musculus split hand/foot malformation (ectrodactyly) type 1 (Shfm1), mRNA.	NA	NA
Intron	chr6	006956034	006956593	uc009axa.1	Acn9	+	+0296	Mus musculus ACN9 homolog (S. cerevisiae) (Acn9), mRNA.	NA	NA
Intron	chr6	007844819	007846321	uc009axg.2	C1galt1	+	+0347	Mus musculus core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1 (C1galt1), mRNA.	NA	NA
Intron	chr6	007847357	007849010	uc009axg.2	C1galt1	+	+2960	Mus musculus core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1 (C1galt1), mRNA.	NA	NA
Intron	chr6	008028069	008029733	uc009axi.1	Col28a1	-	+163716	Mus musculus collagen, type XXVIII, alpha 1 (Col28a1), mRNA.	NA	NA
Intron	chr6	008044841	008047409	uc009axi.1	Col28a1	-	+146492	Mus musculus collagen, type XXVIII, alpha 1 (Col28a1), mRNA.	NA	NA
Intron	chr6	008209129	008210095	uc009axk.2	Mios	+	+0386	Mus musculus missing oocyte, meiosis regulator, homolog (Drosophila) (Mios), mRNA.	NA	NA
5'UTR	chr6	008258734	008260020	uc012eia.1	Gm16039	+	+0090	Mus musculus predicted gene 16039 (Gm16039), non-coding RNA.	NA	NA
Intron	chr6	008336702	008337395	uc012eia.1	Gm16039	+	+77761	Mus musculus predicted gene 16039 (Gm16039), non-coding RNA.	NA	NA
Intron	chr6	008416683	008417168	uc012eia.1	Gm16039	+	+157638	Mus musculus predicted gene 16039 (Gm16039), non-coding RNA.	NA	NA
Intron	chr6	008429392	008430056	uc012eia.1	Gm16039	+	+170437	Mus musculus predicted gene 16039 (Gm16039), non-coding RNA.	NA	NA
Upstream	chr6	008508866	008510715	uc009axr.2	A430035B10Rik	-	-0629	Mus musculus RIKEN cDNA A430035B10 gene (A430035B10Rik), non-coding RNA.	NA	NA
Intron	chr6	008770753	008771070	uc009axy.1	Ica1	-	+7573	Mus musculus islet cell autoantigen 1 (Ica1), transcript variant 1, mRNA.	NA	NA
Intron	chr6	008777553	008778437	uc009axy.1	Ica1	-	+0489	Mus musculus islet cell autoantigen 1 (Ica1), transcript variant 1, mRNA.	NA	NA
Intron	chr6	009061942	009062580	uc009ayb.1	Nxph1	+	+113648	Mus musculus neurexophilin 1 (Nxph1), mRNA.	NA	NA
Intron	chr6	009107793	009107993	uc009ayb.1	Nxph1	+	+159280	Mus musculus neurexophilin 1 (Nxph1), mRNA.	NA	NA
Upstream	chr6	011906584	011908386	uc009ayd.1	Ndufa4	-	-0039	Mus musculus NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4 (Ndufa4), nuclear gene encoding mitochondrial protein, mRNA.	NA	NA
5'UTR	chr6	011925353	011926761	uc009ayg.2	Phf14	+	+0177	Mus musculus PHD finger protein 14 (Phf14), transcript variant 1, mRNA.	NA	NA
Intron	chr6	011930620	011932019	uc009ayg.2	Phf14	+	+5439	Mus musculus PHD finger protein 14 (Phf14), transcript variant 1, mRNA.	NA	NA
Intron	chr6	013069017	013070974	uc009ayk.2	Tmem106b	+	+0237	Mus musculus transmembrane protein 106B (Tmem106b), mRNA.	NA	NA
Intron	chr6	013607175	013608203	uc009ayn.1	Tmem168	-	+0374	Mus musculus transmembrane protein 168 (Tmem168), mRNA.	NA	NA
Intron	chr6	013677009	013677924	uc012eic.1	B630005N14Rik	-	+0500	Mus musculus RIKEN cDNA B630005N14 gene (B630005N14Rik), mRNA.	NA	NA
3'UTR	chr6	013870945	013872239	uc009ayv.2	1110019D14Rik	+	+0024	Mus musculus RIKEN cDNA 1110019D14 gene (1110019D14Rik), non-coding RNA.	NA	NA
Upstream	chr6	014900436	014900768	uc009ayz.1	Foxp2	+	-0746	Mus musculus forkhead box P2 (Foxp2), transcript variant 1, mRNA.	NA	NA
5'UTR	chr6	014901314	014901935	uc009ayz.1	Foxp2	+	+0276	Mus musculus forkhead box P2 (Foxp2), transcript variant 1, mRNA.	NA	NA
Intron	chr6	015184183	015187404	uc009ayz.1	Foxp2	+	+284445	Mus musculus forkhead box P2 (Foxp2), transcript variant 1, mRNA.	NA	NA
Intron	chr6	015184183	015187404	uc009ayz.1	Foxp2	+	+284445	Mus musculus forkhead box P2 (Foxp2), transcript variant 1, mRNA.	NA	NA
Intron	chr6	015720425	015721852	uc009azc.2	Mdfic	+	+0478	Mus musculus MyoD family inhibitor domain containing (Mdfic), mRNA.	NA	NA
Intron	chr6	015727815	015728040	uc009azc.2	Mdfic	+	+7267	Mus musculus MyoD family inhibitor domain containing (Mdfic), mRNA.	NA	NA
Intron	chr6	015729735	015732020	uc009azc.2	Mdfic	+	+10217	Mus musculus MyoD family inhibitor domain containing (Mdfic), mRNA.	NA	NA
Intron	chr6	015732334	015733429	uc009azc.2	Mdfic	+	+12221	Mus musculus MyoD family inhibitor domain containing (Mdfic), mRNA.	NA	NA
Intron	chr6	015738154	015738939	uc009azc.2	Mdfic	+	+17886	Mus musculus MyoD family inhibitor domain containing (Mdfic), mRNA.	NA	NA
Intron	chr6	015751690	015752610	uc009azc.2	Mdfic	+	+31490	Mus musculus MyoD family inhibitor domain containing (Mdfic), mRNA.	NA	NA
Intron	chr6	015792662	015794403	uc009azc.2	Mdfic	+	+72872	Mus musculus MyoD family inhibitor domain containing (Mdfic), mRNA.	NA	NA
Intron	chr6	016897525	016898349	uc009aze.2	Tfec	-	+0504	Mus musculus transcription factor EC (Tfec), mRNA.	NA	NA
Intron	chr6	017065174	017065658	uc009azi.1	Tes	+	+0268	Mus musculus testis derived transcript (Tes), mRNA.	NA	NA
5'UTR	chr6	017171255	017171733	uc009azj.1	EG232599	-	+0339	Mus musculus 10 days neonate cerebellum cDNA, RIKEN full-length enriched library, clone:B930018B01 product:hypothetical protein, full insert sequence.	NA	NA
Intron	chr6	017281059	017282608	uc009azn.1	Cav2	+	+0493	Mus musculus caveolin 2 (Cav2), mRNA.	NA	NA
3'UTR	chr6	017339981	017341083	uc009azo.2	Cav1	+	+34198	Mus musculus caveolin 1, caveolae protein (Cav1), transcript variant 1, mRNA.	NA	NA
Intron	chr6	017463240	017465750	uc009azr.1	Met	+	+0539	Mus musculus met proto-oncogene (Met), mRNA.	NA	NA
Intron	chr6	017466143	017466692	uc009azr.1	Met	+	+2461	Mus musculus met proto-oncogene (Met), mRNA.	NA	NA
Intron	chr6	017469276	017469851	uc009azr.1	Met	+	+5607	Mus musculus met proto-oncogene (Met), mRNA.	NA	NA
Intron	chr6	017485152	017486529	uc009azr.1	Met	+	+21884	Mus musculus met proto-oncogene (Met), mRNA.	NA	NA
Intron	chr6	017503391	017503707	uc009azr.1	Met	+	+39593	Mus musculus met proto-oncogene (Met), mRNA.	NA	NA
Intron	chr6	017540300	017540546	uc009azr.1	Met	+	+76467	Mus musculus met proto-oncogene (Met), mRNA.	NA	NA
Intron	chr6	017540866	017542705	uc009azr.1	Met	+	+77829	Mus musculus met proto-oncogene (Met), mRNA.	NA	NA
Intron	chr6	017554604	017554919	uc009azr.1	Met	+	+90805	Mus musculus met proto-oncogene (Met), mRNA.	NA	NA
Intron	chr6	017567941	017570230	uc009azr.1	Met	+	+105129	Mus musculus met proto-oncogene (Met), mRNA.	NA	NA
Intron	chr6	017637057	017638127	uc009azt.1	Capza2	+	+0495	Mus musculus capping protein (actin filament) muscle Z-line, alpha 2 (Capza2), mRNA.	NA	NA
Intron	chr6	017693678	017695068	uc009azu.1	St7	+	+0968	Mus musculus suppression of tumorigenicity 7 (St7), transcript variant 1, mRNA.	NA	NA
Upstream	chr6	018030100	018031294	uc009bag.2	Wnt2	-	-0252	Mus musculus wingless-related MMTV integration site 2 (Wnt2), mRNA.	NA	NA
Intron	chr6	021798027	021799141	uc009bar.1	Tspan12	-	+53931	Mus musculus tetraspanin 12 (Tspan12), mRNA.	NA	NA
Intron	chr6	021803795	021807275	uc009bar.1	Tspan12	-	+46980	Mus musculus tetraspanin 12 (Tspan12), mRNA.	NA	NA
Intron	chr6	021803795	021807275	uc009bar.1	Tspan12	-	+46980	Mus musculus tetraspanin 12 (Tspan12), mRNA.	NA	NA
Intron	chr6	021827779	021829267	uc009bar.1	Tspan12	-	+23992	Mus musculus tetraspanin 12 (Tspan12), mRNA.	NA	NA
Intron	chr6	021837181	021837542	uc009bar.1	Tspan12	-	+15154	Mus musculus tetraspanin 12 (Tspan12), mRNA.	NA	NA
Intron	chr6	021838052	021838821	uc009bar.1	Tspan12	-	+14079	Mus musculus tetraspanin 12 (Tspan12), mRNA.	NA	NA
Intron	chr6	021840113	021840749	uc009bar.1	Tspan12	-	+12084	Mus musculus tetraspanin 12 (Tspan12), mRNA.	NA	NA
Intron	chr6	021850943	021853774	uc009bar.1	Tspan12	-	+0157	Mus musculus tetraspanin 12 (Tspan12), mRNA.	NA	NA
Intron	chr6	021948912	021951790	uc009bat.1	Ing3	+	+0737	Mus musculus inhibitor of growth family, member 3 (Ing3), mRNA.	NA	NA
Exon/CD	chr6	021985208	021988588	uc009bav.1	A430107O13Rik	+	+0989	Mus musculus RIKEN cDNA A430107O13 gene (A430107O13Rik), mRNA.	NA	NA
Intron	chr6	022000770	022001778	uc009bav.1	A430107O13Rik	+	+15365	Mus musculus RIKEN cDNA A430107O13 gene (A430107O13Rik), mRNA.	NA	NA
Intron	chr6	022010147	022014663	uc009bav.1	A430107O13Rik	+	+26496	Mus musculus RIKEN cDNA A430107O13 gene (A430107O13Rik), mRNA.	NA	NA
Intron	chr6	022010147	022014663	uc009bav.1	A430107O13Rik	+	+26496	Mus musculus RIKEN cDNA A430107O13 gene (A430107O13Rik), mRNA.	NA	NA
Intron	chr6	022025274	022026938	uc009bav.1	A430107O13Rik	+	+40197	Mus musculus RIKEN cDNA A430107O13 gene (A430107O13Rik), mRNA.	NA	NA
Intron	chr6	022147532	022149131	uc009bav.1	A430107O13Rik	+	+162422	Mus musculus RIKEN cDNA A430107O13 gene (A430107O13Rik), mRNA.	NA	NA
Intron	chr6	022327411	022328214	uc009bay.1	Fam3c	-	+28269	Mus musculus family with sequence similarity 3, member C (Fam3c), mRNA.	NA	NA
